conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.7969033042845E+018,Sat Jun 01 15:22:45 +0000 2024,19,@dearestnanon eh gue pernah ketemu orang ini di tempat jus sebelah suar katanya minta uang buat bayar sekolah kek ajg UKT gue aja udah mahal. Trus dia pergi sambil marah gitu ninju tembok,1.79692535827886E+018,,dearestnanon,in,The Duchy of Toussaint,0,2,0,https://x.com/konstitutif/status/1796925358278857190,1.07801528106938E+018,konstitutif
1.79660068238204E+018,Sat Jun 01 15:22:29 +0000 2024,3,@AndrewsTjan sampai habis sisa taik doang buat org papua.... anehnya katanya pendapatan negara dari freeport...tambang ini itu....harusnya rakyat makin senang....bukan kayak sekarang kayak dirampok....UKT dan tapera,1.79692529039406E+018,,AndrewsTjan,in,,0,0,0,https://x.com/AliAmin31984360/status/1796925290394054984,1.64775847283301E+018,AliAmin31984360
1.79680672652584E+018,Sat Jun 01 15:20:16 +0000 2024,0,@anakpwk69 @kohbisa Akumulasi ukt sampe lulus,1.79692473459844E+018,,anakpwk69,in,Bengkel Kauzai,0,0,0,https://x.com/merleanse/status/1796924734598435229,1.19599238380607E+018,merleanse
1.79692256440681E+018,Sat Jun 01 15:17:41 +0000 2024,0,@thvcoupsthinker apa uang buat bayar ukt buldep gw korbanin buat ke korea ya wdyt,1.79692408329851E+018,,thvcoupsthinker,in,âŒ— â€¹ðŸ¹ bangtan boys à¥­,0,1,0,https://x.com/mssvante/status/1796924083298508923,1.11049114064866E+018,mssvante
1.79691919298332E+018,Sat Jun 01 15:10:44 +0000 2024,0,pajak naik tapera ruu kebebasan pers ruu kesehatan ukt naik konstitusi diobok-obok jalur dalam korupsi dan segala tetek bengeknya adalah contoh tangga-tangga yang dilemparkan pemerintah kepada masyarakat secara sadar,1.79692233488194E+018,,noiseonsilence,in,,0,1,0,https://x.com/noiseonsilence/status/1796922334881935546,1.78526856966174E+018,noiseonsilence
1.79692215491699E+018,Sat Jun 01 15:10:01 +0000 2024,0,Jends mau nanya kalo anak kip wisudanya desember tuh bayar uang ukt buat sem 9 ngga ya??,1.79692215491699E+018,,,in,"Purwokerto, Jawa Tengah",0,2,0,https://x.com/Unsoedfess1963/status/1796922154916991305,1.25294513212019E+018,Unsoedfess1963
1.79671016015893E+018,Sat Jun 01 15:03:18 +0000 2024,0,@EAAANNH @Chavesz08 ya.....dengan syarat izinnya sampai cadangan habis.....org papua cuma sisa taiknya ....logika aja kalau pendapatan negara dari keberhasilan pak lurah...mustinya rakyat udah senang...bukan kayak sekarang.....UKT mau naik 500% tapera...ini mah rampok rakyat https://t.co/uUMboC4Kka,1.79692046464603E+018,,EAAANNH,in,,0,0,0,https://x.com/AliAmin31984360/status/1796920464646025465,1.64775847283301E+018,AliAmin31984360
1.79692027363738E+018,Sat Jun 01 15:02:33 +0000 2024,0,Random. Pengen sekolah lagi. Tp gak mau bayar ukt ,1.79692027363738E+018,,,in,out of space,0,0,0,https://x.com/insaniFairiza/status/1796920273637376391,359158236,insaniFairiza
1.79686832844063E+018,Sat Jun 01 15:01:03 +0000 2024,0,@collegemenfess gaada skripsi yang sempurna nderr gass daftar sidang aja biar ga bayar ukt lagii hikd,1.79691989715248E+018,,collegemenfess,in,,0,0,0,https://x.com/putriinugraa/status/1796919897152483501,2235455065,putriinugraa
1.79653093290586E+018,Sat Jun 01 15:00:00 +0000 2024,6,@Jumianto_RK Harga beras naik gegara bansos pemerintah ga bs nurunin alasan petani yg ga msk akal BBM listrik mau naik Tapera ukt dan PPN thn depan sementara negara tetangga dibanjiri triliunan investor. Apple Microsoft pd investor dluar dpd indo.ngaca Napa seh pemerintah,1.79691963210607E+018,,Jumianto_RK,in,,0,1,0,https://x.com/gamersindo47674/status/1796919632106070388,1.74617599360862E+018,gamersindo47674
